ID,Etapa,Epics,Stories,sub-tarea,Duracion,Story points,Comienzo,Fin,Sprint,Predecesores,Coordinacion,%_completado,Estado,Descripcion
IA-01-01,1. Conexion,GDOC-208,Instalacion Servidores IA,Airflow + Langfuse,2,,23/02/2026,24/02/2026,Sprint 3,—,—,100%,Completada,Airflow + Langfuse; VectorDB + Platform DB; IA Platform
IA-01-02,1. Conexion,GDOC-208,Instalacion Servidores IA,VectorDB + Platform DB,1,,23/02/2026,24/02/2026,Sprint 3,,,100%,Completada,Airflow + Langfuse; VectorDB + Platform DB; IA Platform
IA-01-03,1. Conexion,GDOC-208,Instalacion Servidores IA,IA Platform,1,,23/02/2026,24/02/2026,Sprint 3,,,100%,Completada,Airflow + Langfuse; VectorDB + Platform DB; IA Platform
IA-02,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV,Configuracion bases de datos,2,3,02/03/2026,03/03/2026,Sprint 4,IA-01,—,40%,En curso,Config pgvector HNSW; Migraciones Alembic; Carga datos base; Verificacion rendimiento
IA-03,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV,Configuracion pipeline de documentos,3,5,04/03/2026,06/03/2026,Sprint 4,IA-02,—,20%,En curso,Config adaptive chunker; Gemini embedding 768d; Procesamiento completo; Validacion calidad
IA-04,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV,Configuracion plataforma IA,3,5,05/03/2026,09/03/2026,Sprint 4,IA-02,—,20%,En curso,"Endpoints API; Middleware seguridad (CORS, JWT, rate limit); Despliegue Docker + Helm; Langfuse; Monitoreo GCP"
IA-05,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV,Conexion con OpenText Content Server,2,3,11/03/2026,12/03/2026,Sprint 4,—,Depende #1,0%,Pendiente,Cliente API Content Server; Prueba conectividad y acceso documentos
IA-06,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV_2,Sincronizacion metadata y permisos xECM,1,2,25/03/2026,25/03/2026,Sprint 5,"IA-03, IA-04",Depende #2,0%,Pendiente,Tablas sincronizacion permisos; Sincronizacion roles y permisos xECM
IA-07,2. Realizacion,GDOC-208,Config Infraestructura y Plataforma IA DEV_2,Testing interno plataforma,2,3,26/03/2026,27/03/2026,Sprint 5,IA-06,—,0%,Pendiente,Pruebas integracion DEV; Pruebas auth; Correccion errores
IA-08,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,Configuracion modelo de lenguaje (Gemini),2,3,02/03/2026,03/03/2026,Sprint 4,IA-01,—,20%,En curso,Seleccion modelo Gemini; System prompt; Parametros generacion
IA-09,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,Configuracion pipeline RAG,2,3,09/03/2026,10/03/2026,Sprint 4,"IA-08, IA-03",—,20%,En curso,Busqueda hibrida Vector+BM25+RRF; Reranking Vertex AI; Streaming SSE
IA-10,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,Integracion y optimizacion pipeline RAG,2,3,11/03/2026,12/03/2026,Sprint 4,IA-09,—,0%,Pendiente,Sistema citaciones; LangGraph state machine; Cache semantico
IA-11,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,Configuracion interfaz de usuario — estructura base,3,5,10/03/2026,12/03/2026,Sprint 4,IA-04,—,0%,Pendiente,Scaffold Next.js; Login JWT; Chat UI streaming SSE y markdown
IA-12,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,Configuracion interfaz de usuario — integraciones,2,3,12/03/2026,13/03/2026,Sprint 4,IA-11,—,0%,Pendiente,Citaciones y feedback; Sidebar conversaciones
IA-13,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA,"Configuracion seguridad, compliance y personalizacion",3,5,04/03/2026,06/03/2026,Sprint 4,IA-08,Depende #4,0%,Pendiente,"Input guardrails (prompt injection, PII); Output guardrails; Temas prohibidos; Personalidad, tono y branding"
IA-14,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA_2,Configuracion observabilidad y monitoreo,2,3,16/03/2026,17/03/2026,Sprint 5,IA-10,—,0%,Pendiente,Instrumentacion traces Langfuse; Metricas RAGAS y costos; Dashboards monitoreo GCP
IA-15,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA_2,Procesamiento corpus documental,3,,16/03/2026,18/03/2026,Sprint 5,IA-03,Depende #3,0%,Pendiente,Carga docs prueba; Validacion extraccion; Carga dataset definitivo; Verificacion cobertura indice
IA-16,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA_2,Calibracion del sistema — parametros y respuestas,3,,19/03/2026,25/03/2026,Sprint 5,"IA-10, IA-15",Depende #5,0%,Pendiente,"Ajuste parametros busqueda (top-k, similarity, chunk overlap); Optimizacion respuestas segun personalidad"
IA-17,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA_2,Calibracion del sistema — validacion y ajustes,2,,26/03/2026,27/03/2026,Sprint 5,IA-16,Depende #5,0%,Pendiente,Validacion respuestas vs escenarios esperados; Ajuste filtros seguridad con casos reales
IA-18,2. Realizacion,GDOC-208,Configuracion y Entrenamiento del Sistema IA_3,Pruebas integracion DEV,2,,30/03/2026,31/03/2026,Sprint 6,IA-17,—,0%,Pendiente,Pruebas e2e pipeline RAG; Rendimiento y latencia; Correccion errores
IA-19,2. Realizacion,GDOC-208,Validacion Escenarios IA con xECM,Configuracion escenarios de prueba con xECM,3,,20/03/2026,26/03/2026,Sprint 5,—,Dependes #2 y #5,0%,Pendiente,Escenarios CAT con docs xECM; Escenarios RRHH con docs xECM; Validacion cobertura
IA-20,2. Realizacion,GDOC-208,Validacion Escenarios IA con xECM_2,Validacion con datos reales xECM,2,,30/03/2026,31/03/2026,Sprint 6,"IA-19, IA-05",—,0%,Pendiente,Consultas con documentos reales Content Server; Ajuste respuestas contexto xECM
IA-21,2. Realizacion,GDOC-208,Validacion Escenarios IA con xECM_2,Transporte configuracion DEV a QAS,2,,01/04/2026,06/04/2026,Sprint 6,"IA-18, IA-20",—,0%,Pendiente,"Migracion config, datos y modelos a QAS; Validacion funcional QAS"
IA-22,2. Realizacion,GDOC-208,Pruebas QAS y Capacitacion Key Users IA,Capacitacion key users y entrega material soporte,2,,07/04/2026,08/04/2026,Sprint 6,IA-21,—,0%,Pendiente,Script pruebas; Sesiones capacitacion key users CAT y RRHH; Material soporte funcional y tecnico (Draft)
IA-23,2. Realizacion,GDOC-208,Pruebas QAS y Capacitacion Key Users IA_2,Pruebas QAS — funcionales y no funcionales,3,,13/04/2026,15/04/2026,Sprint 7,IA-22,—,0%,Pendiente,"Pruebas funcionales e2e en QAS; Pruebas no funcionales (rendimiento, seguridad basica)"
IA-24,2. Realizacion,GDOC-208,Pruebas QAS y Capacitacion Key Users IA_2,Pruebas QAS — correccion y estabilizacion,2,,16/04/2026,17/04/2026,Sprint 7,IA-23,—,0%,Pendiente,Correccion errores detectados en QAS; Re-verificacion y estabilizacion
IA-25,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Configuracion ambiente produccion,2,,20/04/2026,21/04/2026,Sprint 7,IA-24,—,0%,Pendiente,"Config infra PRD (GKE, Cloud SQL, secrets); Monitoreo y alertas; Backups y DR"
IA-26,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Seguridad pre-produccion — filtros avanzados,3,,20/04/2026,22/04/2026,Sprint 7,"IA-24, IA-13",—,0%,Pendiente,"Deteccion PII (DNI, CUIT, CBU); Validacion fidelidad respuestas vs documentos; Control tematico"
IA-27,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Seguridad pre-produccion — permisos documentales,2,,16/04/2026,17/04/2026,Sprint 7,IA-06,Depende #6,0%,Pendiente,Sync permisos OpenText; Filtrado resultados segun permisos; Sync periodica; Pruebas permisos
IA-28,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Testing integrado pre-produccion,2,,23/04/2026,24/04/2026,Sprint 7,"IA-26, IA-27",—,0%,Pendiente,Pruebas integracion completa; Seguridad OWASP; Rendimiento bajo carga; Correccion criticos
IA-29,3. Preparacion Final,GDOC-208,Cutover IA a Produccion,"Despliegue, migracion y verificacion en produccion",2,,27/04/2026,28/04/2026,Sprint 8,IA-28,—,0%,Pendiente,Deploy Helm PRD; Validacion post-despliegue; Migracion VectorDB y PlatformDB; Smoke test
IA-30,3. Preparacion Final,GDOC-208,Pruebas de Aceptacion Pre Go-Live,Pruebas de aceptacion con key users y ajustes,2,,29/04/2026,30/04/2026,Sprint 8,IA-29,—,0%,Pendiente,UAT key users CAT y RRHH; Resolucion observaciones criticas
IA-31,3. Preparacion Final,GDOC-208,Capacitacion Usuarios Finales,Entrega material definitivo y capacitacion usuarios,2,,04/05/2026,05/05/2026,Sprint 8,IA-30,—,0%,Pendiente,"Material soporte funcional y tecnico definitivo; Capacitacion usuarios CAT, RRHH e IT"
IA-32,4. Lanzamiento,GDOC-208,Go-Live BC+IA,Go-Live componente IA en produccion,1,,06/05/2026,06/05/2026,Sprint 8,"IA-30, IA-31",Aprobacion banco,0%,Pendiente,Comunicacion go-live; Activacion accesos usuarios finales; Monitoreo inicial
IA-33,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Monitoreo activo y resolucion incidencias,3,,07/05/2026,11/05/2026,Sprint 8,IA-32,—,0%,Pendiente,Monitoreo rendimiento y calidad respuestas; Resolucion incidencias reportadas por usuarios
IA-34,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Soporte continuo y estabilizacion,3,,12/05/2026,14/05/2026,-,IA-33,—,0%,Pendiente,Continuacion soporte usuarios; Estabilizacion sistema produccion
IA-35,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Ajuste fino RAG con feedback usuarios,2,,15/05/2026,18/05/2026,-,IA-34,—,0%,Pendiente,Ajuste fino RAG basado en feedback usuarios reales; Optimizacion parametros produccion
IA-36,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Informe cierre y metricas finales,2,,19/05/2026,20/05/2026,-,IA-35,—,0%,Pendiente,Informe cierre proyecto; Metricas finales y transferencia conocimiento
,,,,,83,,,,,,,11%,,