Etapa,Epic,ID,Tarea,Descripcion,Dur.,Opt.,Prob.,Pes.,Te,Predecesores,Comienzo,Fin,Coordinacion,Estado,Ref Backlog,Notas
1. Conexion,Instalacion Servidores IA,IA-01,Instalacion y configuracion servidores IA en GCP,"Airflow + Langfuse; VectorDB + Platform DB; IA Platform",2d,2,2,2,2.0,—,23/02/2026,24/02/2026,—,Completada,"AI-001, AI-002, AI-003",
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-02,Configuracion bases de datos,"Config pgvector HNSW; Migraciones Alembic; Carga datos base; Verificacion rendimiento",2d,1.5,2,3,2.1,IA-01,02/03/2026,03/03/2026,—,En curso,AI-004,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-03,Configuracion pipeline de documentos,"Config adaptive chunker; Gemini embedding 768d; Procesamiento completo; Validacion calidad",3d,2,3,5,3.2,IA-02,04/03/2026,06/03/2026,—,En curso,AI-005,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-04,Configuracion plataforma IA y despliegue,"Endpoints API; Middleware seguridad (CORS, JWT, rate limit); Despliegue Docker + Helm; Langfuse; Monitoreo GCP",3d,2,3,5,3.2,IA-02,02/03/2026,04/03/2026,—,En curso,AI-006,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-05,Conexion con OpenText Content Server,"Cliente API Content Server; Prueba conectividad y acceso documentos",2d,0.5,1,3,1.3,—,10/03/2026,11/03/2026,Entregable #1,Pendiente,AI-007,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-06,Sincronizacion metadata y permisos xECM,"Tablas sincronizacion permisos; Sincronizacion roles y permisos xECM",1d,0.5,1,2,1.1,"IA-03, IA-04",20/03/2026,21/03/2026,Entregable #2,Pendiente,AI-008,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-07,Testing interno plataforma,"Pruebas integracion DEV; Pruebas auth; Correccion errores",1d,0.5,1,2,1.1,IA-06,25/03/2026,26/03/2026,—,Pendiente,AI-009,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-08,Configuracion modelo de lenguaje (Gemini),"Seleccion modelo Gemini; System prompt; Parametros generacion",2d,1.5,2,3,2.1,IA-01,25/02/2026,26/02/2026,—,En curso,AI-010,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-09,Configuracion pipeline RAG,"Busqueda hibrida Vector+BM25+RRF; Reranking Vertex AI; Streaming SSE",2d,1,2,4,2.2,"IA-08, IA-03",27/02/2026,03/03/2026,—,En curso,AI-011 (parte 1),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-10,Integracion y optimizacion pipeline RAG,"Sistema citaciones; LangGraph state machine; Cache semantico",2d,1,2,4,2.2,IA-09,04/03/2026,06/03/2026,—,En curso,AI-011 (parte 2),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-11,Desarrollo interfaz de usuario — estructura base,"Scaffold Next.js; Login JWT; Chat UI streaming SSE y markdown",3d,2.5,3,5,3.3,IA-04,07/03/2026,11/03/2026,—,Pendiente,AI-012 (parte 1),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-12,Desarrollo interfaz de usuario — integraciones,"Citaciones y feedback; Sidebar conversaciones",2d,1.5,2,3,2.1,IA-11,12/03/2026,13/03/2026,—,Pendiente,AI-012 (parte 2),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-13,"Configuracion seguridad, compliance y personalizacion","Input guardrails (prompt injection, PII); Output guardrails; Temas prohibidos; Personalidad, tono y branding",3d,2,3,5,3.2,IA-08,03/03/2026,07/03/2026,Entregable #4,En curso,"AI-013, AI-014",
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-14,Configuracion observabilidad y monitoreo,"Instrumentacion traces Langfuse; Metricas RAGAS y costos; Dashboards monitoreo GCP",2d,1,2,3,2.0,IA-10,05/03/2026,07/03/2026,—,En curso,AI-015,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-15,Procesamiento corpus documental,"Carga docs prueba; Validacion extraccion; Carga dataset definitivo; Verificacion cobertura indice",3d,2,3,5,3.2,IA-03,12/03/2026,16/03/2026,Entregable #3,Pendiente,AI-016,Bloqueada parcialmente por DEP-003
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-16,Calibracion del sistema — parametros y respuestas,"Ajuste parametros busqueda (top-k, similarity, chunk overlap); Optimizacion respuestas segun personalidad",3d,1.5,3,6,3.3,"IA-10, IA-15",17/03/2026,19/03/2026,Entregable #5,Pendiente,AI-017 (parte 1),RUTA CRITICA
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-17,Calibracion del sistema — validacion y ajustes,"Validacion respuestas vs escenarios esperados; Ajuste filtros seguridad con casos reales",2d,1,2,5,2.3,IA-16,20/03/2026,23/03/2026,Entregable #5,Pendiente,AI-017 (parte 2),RUTA CRITICA. σ=0.67
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-18,Pruebas integracion DEV,"Pruebas e2e pipeline RAG; Rendimiento y latencia; Correccion errores",2d,1,2,4,2.2,IA-17,27/03/2026,28/03/2026,—,Pendiente,AI-018,
2. Realizacion,Validacion Escenarios IA con xECM,IA-19,Configuracion escenarios de prueba con xECM,"Escenarios CAT con docs xECM; Escenarios RRHH con docs xECM; Validacion cobertura",3d,2,3,5,3.2,—,20/03/2026,23/03/2026,Entregables #2 y #5,Pendiente,AI-019,Bloqueada por DEP-002 y DEP-007
2. Realizacion,Validacion Escenarios IA con xECM,IA-20,Validacion con datos reales xECM,"Consultas con documentos reales Content Server; Ajuste respuestas contexto xECM",2d,2,3,5,3.2,"IA-19, IA-05",24/03/2026,26/03/2026,—,Pendiente,AI-020,Te 3.2d > Dur. 2d
2. Realizacion,Validacion Escenarios IA con xECM,IA-21,Transporte configuracion DEV a QAS,"Migracion config, datos y modelos a QAS; Validacion funcional QAS",2d,1,2,4,2.2,"IA-18, IA-20",27/03/2026,31/03/2026,—,Pendiente,AI-021,
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-22,Capacitacion key users y entrega material soporte,"Script pruebas; Sesiones capacitacion key users CAT y RRHH; Material soporte funcional y tecnico (Draft)",2d,1,2,4,2.2,IA-21,02/04/2026,03/04/2026,—,Pendiente,"AI-022, AI-023, AI-024, AI-025",
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-23,Pruebas QAS — funcionales y no funcionales,"Pruebas funcionales e2e en QAS; Pruebas no funcionales (rendimiento, seguridad basica)",3d,2,3.5,7,3.8,IA-22,04/04/2026,07/04/2026,—,Pendiente,AI-026 (parte 1),RUTA CRITICA. σ=0.83
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-24,Pruebas QAS — correccion y estabilizacion,"Correccion errores detectados en QAS; Re-verificacion y estabilizacion",2d,1,1.5,3,1.7,IA-23,08/04/2026,10/04/2026,—,Pendiente,AI-026 (parte 2),
3. Preparacion Final,Preproduccion y Seguridad IA,IA-25,Configuracion ambiente produccion,"Config infra PRD (GKE, Cloud SQL, secrets); Monitoreo y alertas; Backups y DR",2d,1,2,4,2.2,IA-24,13/04/2026,14/04/2026,—,Pendiente,AI-027,
3. Preparacion Final,Preproduccion y Seguridad IA,IA-26,Seguridad pre-produccion — filtros avanzados,"Deteccion PII (DNI, CUIT, CBU); Validacion fidelidad respuestas vs documentos; Control tematico",3d,3,5,8,5.2,"IA-24, IA-13",13/04/2026,15/04/2026,—,Pendiente,AI-028,RIESGO: Te 5.2d > Dur. 3d. σ=0.83
3. Preparacion Final,Preproduccion y Seguridad IA,IA-27,Seguridad pre-produccion — permisos documentales,"Sync permisos OpenText; Filtrado resultados segun permisos; Sync periodica; Pruebas permisos",2d,3,5,10,5.5,IA-06,16/04/2026,17/04/2026,Entregable #6,Pendiente,AI-029,RIESGO CRITICO: Te 5.5d > Dur. 2d. σ=1.17
3. Preparacion Final,Preproduccion y Seguridad IA,IA-28,Testing integrado pre-produccion,"Pruebas integracion completa; Seguridad OWASP; Rendimiento bajo carga; Correccion criticos",2d,2,3,5,3.2,"IA-26, IA-27",20/04/2026,21/04/2026,—,Pendiente,AI-030,RUTA CRITICA. Te 3.2d > Dur. 2d
3. Preparacion Final,Cutover IA a Produccion,IA-29,"Despliegue, migracion y verificacion en produccion","Deploy Helm PRD; Validacion post-despliegue; Migracion VectorDB y PlatformDB; Smoke test",2d,2.5,5,9,5.3,IA-28,21/04/2026,22/04/2026,—,Pendiente,"AI-031, AI-032, AI-033",RIESGO: Te 5.3d > Dur. 2d
3. Preparacion Final,Pruebas de Aceptacion Pre Go-Live,IA-30,Pruebas de aceptacion con key users y ajustes,"UAT key users CAT y RRHH; Resolucion observaciones criticas",2d,2,4,8,4.3,IA-29,22/04/2026,23/04/2026,—,Pendiente,"AI-034, AI-035, AI-036",RIESGO: Te 4.3d > Dur. 2d
3. Preparacion Final,Capacitacion Usuarios Finales,IA-31,Entrega material definitivo y capacitacion usuarios,"Material soporte funcional y tecnico definitivo; Capacitacion usuarios CAT, RRHH e IT",2d,1,2,3,2.0,IA-30,22/04/2026,23/04/2026,—,Pendiente,"AI-037 a AI-041",
4. Lanzamiento,Go-Live BC+IA,IA-32,Go-Live componente IA en produccion,"Comunicacion go-live; Activacion accesos usuarios finales; Monitoreo inicial",1d,3,5,7,5.0,"IA-30, IA-31",24/04/2026,24/04/2026,Aprobacion banco,Pendiente,AI-042,RIESGO: Te 5.0d > Dur. 1d. Incluye monitoreo 48h
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-33,Monitoreo activo y resolucion incidencias,"Monitoreo rendimiento y calidad respuestas; Resolucion incidencias reportadas por usuarios",3d,2,3,5,3.2,IA-32,24/04/2026,28/04/2026,—,Pendiente,AI-043 (parte 1),
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-34,Soporte continuo y estabilizacion,"Continuacion soporte usuarios; Estabilizacion sistema produccion",3d,2,3,5,3.2,IA-33,29/04/2026,01/05/2026,—,Pendiente,AI-043 (parte 2),
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-35,Ajuste fino RAG con feedback usuarios,"Ajuste fino RAG basado en feedback usuarios reales; Optimizacion parametros produccion",2d,2,3,5,3.2,IA-34,02/05/2026,05/05/2026,—,Pendiente,AI-043 (parte 3),
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-36,Informe cierre y metricas finales,"Informe cierre proyecto; Metricas finales y transferencia conocimiento",2d,0.5,1,2,1.1,IA-35,06/05/2026,07/05/2026,—,Pendiente,AI-043 (parte 4),
