Etapa,Epic,ID,Tarea,Descripcion,Duracion,Comienzo,Fin,Predecesores,Coordinacion,Estado
1. Conexion,Instalacion Servidores IA,IA-01,Instalacion y configuracion servidores IA en GCP,"Airflow + Langfuse; VectorDB + Platform DB; IA Platform",2d,23/02/2026,24/02/2026,—,—,Completada
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-02,Configuracion bases de datos,"Config pgvector HNSW; Migraciones Alembic; Carga datos base; Verificacion rendimiento",2d,02/03/2026,03/03/2026,IA-01,—,En curso
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-03,Configuracion pipeline de documentos,"Config adaptive chunker; Gemini embedding 768d; Procesamiento completo; Validacion calidad",3d,04/03/2026,06/03/2026,IA-02,—,En curso
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-04,Configuracion plataforma IA y despliegue,"Endpoints API; Middleware seguridad (CORS, JWT, rate limit); Despliegue Docker + Helm; Langfuse; Monitoreo GCP",3d,02/03/2026,04/03/2026,IA-02,—,En curso
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-05,Conexion con OpenText Content Server,"Cliente API Content Server; Prueba conectividad y acceso documentos",2d,10/03/2026,11/03/2026,—,Entregable #1,Pendiente
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-06,Sincronizacion metadata y permisos xECM,"Tablas sincronizacion permisos; Sincronizacion roles y permisos xECM",1d,20/03/2026,21/03/2026,"IA-03, IA-04",Entregable #2,Pendiente
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-07,Testing interno plataforma,"Pruebas integracion DEV; Pruebas auth; Correccion errores",1d,25/03/2026,26/03/2026,IA-06,—,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-08,Configuracion modelo de lenguaje (Gemini),"Seleccion modelo Gemini; System prompt; Parametros generacion",2d,25/02/2026,26/02/2026,IA-01,—,En curso
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-09,Configuracion pipeline RAG,"Busqueda hibrida Vector+BM25+RRF; Reranking Vertex AI; Streaming SSE",2d,27/02/2026,03/03/2026,"IA-08, IA-03",—,En curso
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-10,Integracion y optimizacion pipeline RAG,"Sistema citaciones; LangGraph state machine; Cache semantico",2d,04/03/2026,06/03/2026,IA-09,—,En curso
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-11,Desarrollo interfaz de usuario — estructura base,"Scaffold Next.js; Login JWT; Chat UI streaming SSE y markdown",3d,07/03/2026,11/03/2026,IA-04,—,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-12,Desarrollo interfaz de usuario — integraciones,"Citaciones y feedback; Sidebar conversaciones",2d,12/03/2026,13/03/2026,IA-11,—,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-13,"Configuracion seguridad, compliance y personalizacion","Input guardrails (prompt injection, PII); Output guardrails; Temas prohibidos; Personalidad, tono y branding",3d,03/03/2026,07/03/2026,IA-08,Entregable #4,En curso
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-14,Configuracion observabilidad y monitoreo,"Instrumentacion traces Langfuse; Metricas RAGAS y costos; Dashboards monitoreo GCP",2d,05/03/2026,07/03/2026,IA-10,—,En curso
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-15,Procesamiento corpus documental,"Carga docs prueba; Validacion extraccion; Carga dataset definitivo; Verificacion cobertura indice",3d,12/03/2026,16/03/2026,IA-03,Entregable #3,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-16,Calibracion del sistema — parametros y respuestas,"Ajuste parametros busqueda (top-k, similarity, chunk overlap); Optimizacion respuestas segun personalidad",3d,17/03/2026,19/03/2026,"IA-10, IA-15",Entregable #5,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-17,Calibracion del sistema — validacion y ajustes,"Validacion respuestas vs escenarios esperados; Ajuste filtros seguridad con casos reales",2d,20/03/2026,23/03/2026,IA-16,Entregable #5,Pendiente
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-18,Pruebas integracion DEV,"Pruebas e2e pipeline RAG; Rendimiento y latencia; Correccion errores",2d,27/03/2026,28/03/2026,IA-17,—,Pendiente
2. Realizacion,Validacion Escenarios IA con xECM,IA-19,Configuracion escenarios de prueba con xECM,"Escenarios CAT con docs xECM; Escenarios RRHH con docs xECM; Validacion cobertura",3d,20/03/2026,23/03/2026,—,Entregables #2 y #5,Pendiente
2. Realizacion,Validacion Escenarios IA con xECM,IA-20,Validacion con datos reales xECM,"Consultas con documentos reales Content Server; Ajuste respuestas contexto xECM",2d,24/03/2026,26/03/2026,"IA-19, IA-05",—,Pendiente
2. Realizacion,Validacion Escenarios IA con xECM,IA-21,Transporte configuracion DEV a QAS,"Migracion config, datos y modelos a QAS; Validacion funcional QAS",2d,27/03/2026,31/03/2026,"IA-18, IA-20",—,Pendiente
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-22,Capacitacion key users y entrega material soporte,"Script pruebas; Sesiones capacitacion key users CAT y RRHH; Material soporte funcional y tecnico (Draft)",2d,02/04/2026,03/04/2026,IA-21,—,Pendiente
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-23,Pruebas QAS — funcionales y no funcionales,"Pruebas funcionales e2e en QAS; Pruebas no funcionales (rendimiento, seguridad basica)",3d,04/04/2026,07/04/2026,IA-22,—,Pendiente
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-24,Pruebas QAS — correccion y estabilizacion,"Correccion errores detectados en QAS; Re-verificacion y estabilizacion",2d,08/04/2026,10/04/2026,IA-23,—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-25,Configuracion ambiente produccion,"Config infra PRD (GKE, Cloud SQL, secrets); Monitoreo y alertas; Backups y DR",2d,13/04/2026,14/04/2026,IA-24,—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-26,Seguridad pre-produccion — filtros avanzados,"Deteccion PII (DNI, CUIT, CBU); Validacion fidelidad respuestas vs documentos; Control tematico",3d,13/04/2026,15/04/2026,"IA-24, IA-13",—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-27,Seguridad pre-produccion — permisos documentales,"Sync permisos OpenText; Filtrado resultados segun permisos; Sync periodica; Pruebas permisos",2d,16/04/2026,17/04/2026,IA-06,Entregable #6,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-28,Testing integrado pre-produccion,"Pruebas integracion completa; Seguridad OWASP; Rendimiento bajo carga; Correccion criticos",2d,20/04/2026,21/04/2026,"IA-26, IA-27",—,Pendiente
3. Preparacion Final,Cutover IA a Produccion,IA-29,"Despliegue, migracion y verificacion en produccion","Deploy Helm PRD; Validacion post-despliegue; Migracion VectorDB y PlatformDB; Smoke test",2d,21/04/2026,22/04/2026,IA-28,—,Pendiente
3. Preparacion Final,Pruebas de Aceptacion Pre Go-Live,IA-30,Pruebas de aceptacion con key users y ajustes,"UAT key users CAT y RRHH; Resolucion observaciones criticas",2d,22/04/2026,23/04/2026,IA-29,—,Pendiente
3. Preparacion Final,Capacitacion Usuarios Finales,IA-31,Entrega material definitivo y capacitacion usuarios,"Material soporte funcional y tecnico definitivo; Capacitacion usuarios CAT, RRHH e IT",2d,22/04/2026,23/04/2026,IA-30,—,Pendiente
4. Lanzamiento,Go-Live BC+IA,IA-32,Go-Live componente IA en produccion,"Comunicacion go-live; Activacion accesos usuarios finales; Monitoreo inicial",1d,24/04/2026,24/04/2026,"IA-30, IA-31",Aprobacion banco,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-33,Monitoreo activo y resolucion incidencias,"Monitoreo rendimiento y calidad respuestas; Resolucion incidencias reportadas por usuarios",3d,24/04/2026,28/04/2026,IA-32,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-34,Soporte continuo y estabilizacion,"Continuacion soporte usuarios; Estabilizacion sistema produccion",3d,29/04/2026,01/05/2026,IA-33,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-35,Ajuste fino RAG con feedback usuarios,"Ajuste fino RAG basado en feedback usuarios reales; Optimizacion parametros produccion",2d,02/05/2026,05/05/2026,IA-34,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-36,Informe cierre y metricas finales,"Informe cierre proyecto; Metricas finales y transferencia conocimiento",2d,06/05/2026,07/05/2026,IA-35,—,Pendiente
